,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
12,2,4,0,9,1,2,5,2,1,2,31,0,0,0,1,66,6,400,3,4,4,0,6,0,0,0,0,0,1,0,0,-1.0,1,0
18,2,4,4,18,1,1,6,5,1,1,45,0,1,0,5,12023,8,400,2,4,4,5,6,0,0,0,3,0,1,2,1,-1.0,2,0
20,4,2,6,6,1,5,5,2,1,2,0,1,2,1,5,3669,12,400,1,4,4,1,0,0,0,0,0,0,1,0,2,-1.0,2,0
23,4,5,2,13,1,6,4,3,1,2,38,0,2,1,2,2108,7,400,1,4,4,0,6,0,0,0,0,0,1,0,2,-1.0,1,0
27,4,3,0,17,1,5,5,3,1,1,34,1,1,0,1,8686,11,400,3,4,4,1,5,0,0,0,0,0,1,1,1,-1.0,1,0
29,10,2,3,17,1,2,11,2,1,1,43,1,2,1,1,11101,6,400,2,4,4,0,7,0,0,0,6,0,1,1,2,-1.0,1,0
30,3,2,0,17,1,6,4,3,1,1,29,0,1,0,1,12135,5,400,1,4,4,0,5,0,0,0,0,0,1,2,1,-1.0,1,0
36,0,2,2,13,1,2,1,2,1,2,25,0,2,1,2,14631,14,400,1,4,4,3,4,0,0,0,1,0,1,2,2,-1.0,1,0
40,4,4,5,13,1,2,5,5,1,2,35,0,2,1,2,12710,11,400,1,4,4,1,5,0,0,0,0,0,1,2,2,-1.0,1,0
42,0,2,0,9,1,2,1,2,1,2,42,1,1,0,2,756,13,400,3,4,4,1,7,0,0,0,6,0,1,0,1,-1.0,1,0
43,4,4,5,13,1,6,5,4,1,1,44,0,1,0,1,13485,4,400,2,4,4,0,6,0,0,0,0,0,1,2,1,-1.0,1,0
48,10,3,5,18,1,7,11,3,1,1,53,0,2,1,3,13272,2,400,1,4,4,3,6,0,0,0,0,0,1,2,2,-1.0,2,0
53,1,3,2,6,1,2,2,4,1,1,46,0,2,1,1,7255,6,700,4,4,4,5,7,0,0,0,0,0,1,1,2,-1.0,1,0
54,8,4,5,17,1,5,9,4,1,1,40,1,0,0,2,10938,14,400,1,4,4,1,6,0,0,0,0,0,1,1,0,-1.0,1,0
