,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
2,7,3,2,9,0,6,1,2,1,1,33,0,0,0,1,1820,16,400,1,4,4,1,5,0,0,0,0,0,1,0,0,-1.0,1,0
5,11,3,0,2,1,7,12,4,0,1,33,0,2,1,1,4827,6,400,1,4,4,5,3,0,0,0,0,0,1,0,2,-1.0,1,0
15,1,1,5,9,1,6,11,1,0,1,49,1,2,1,1,9437,13,400,3,4,4,1,6,0,0,0,0,0,1,1,2,-1.0,1,0
17,8,2,1,6,1,6,9,2,0,2,26,0,2,1,1,5676,8,400,3,4,4,1,5,0,0,0,0,0,1,0,2,-1.0,1,0
37,4,5,0,2,0,2,5,5,1,1,42,1,0,0,1,5305,1,500,4,4,4,0,6,0,0,0,1,2,1,0,0,-1.0,1,1
38,8,4,6,17,1,7,9,4,0,2,26,0,2,1,1,1597,3,400,2,4,4,3,5,0,0,0,0,4,2,0,2,-1.0,1,0
39,8,3,3,17,1,1,9,3,0,2,31,0,2,1,1,3682,4,400,3,4,4,5,5,0,0,0,6,0,1,0,2,-1.0,1,0
58,7,1,0,6,1,2,8,2,0,1,39,0,1,0,3,401,12,400,4,4,4,0,6,0,0,0,0,0,1,0,1,-1.0,2,0
66,7,1,6,9,1,1,8,1,0,2,30,0,1,0,1,10442,10,400,2,4,4,0,5,0,0,0,1,0,1,1,1,-1.0,1,1
69,10,4,5,13,1,7,10,1,0,1,31,0,1,0,1,14385,14,400,4,4,4,3,4,0,0,0,0,0,1,2,1,-1.0,1,0
89,0,4,5,13,0,6,1,4,1,1,63,0,2,1,1,6900,9,400,1,4,4,1,6,0,0,0,6,0,1,1,2,-1.0,1,0
103,1,1,0,9,0,5,2,2,1,1,56,0,0,0,1,10097,10,400,4,4,4,0,7,0,0,0,1,0,1,1,0,-1.0,1,0
122,11,4,0,17,1,2,12,4,0,2,31,1,1,0,1,1410,1,400,4,4,4,1,5,0,0,0,1,0,1,0,1,-1.0,1,0
127,7,2,5,13,1,1,8,2,0,0,41,1,1,0,0,6423,2,400,1,4,4,0,6,0,0,0,0,0,1,1,1,-1.0,0,0
137,4,4,2,2,0,2,5,4,0,1,33,1,0,0,5,7914,3,400,1,4,4,1,6,0,0,0,6,0,3,1,0,-1.0,2,0
144,2,1,4,6,1,2,3,1,0,1,46,1,0,0,0,7882,7,400,3,4,4,0,6,0,0,0,0,0,1,1,0,-1.0,0,0
149,3,5,1,17,0,2,8,2,1,1,34,0,1,0,1,10230,3,400,3,4,4,1,5,0,0,0,6,0,1,1,1,-1.0,1,0
153,0,2,0,17,0,7,1,3,1,2,27,0,2,1,2,2021,6,400,1,4,4,3,5,0,0,0,6,0,1,0,2,-1.0,1,0
168,8,3,3,2,1,2,9,3,0,2,39,0,2,1,1,4613,8,400,4,4,4,3,6,0,0,0,6,0,1,0,2,-1.0,1,0
177,8,1,5,17,1,6,9,1,0,1,52,0,2,1,1,2698,8,700,3,4,4,3,6,0,0,0,1,0,1,0,2,-1.0,1,0
195,1,2,4,17,0,1,2,3,1,2,26,1,1,0,1,4222,7,400,4,4,4,1,6,0,0,0,6,4,2,0,1,-1.0,1,0
232,5,1,1,17,1,6,6,1,0,1,30,0,1,0,1,837,16,400,4,4,4,1,3,0,0,1,0,0,1,0,1,-1.0,1,0
242,8,3,1,17,1,5,9,3,0,2,80,0,0,0,0,1722,15,400,2,4,4,1,6,0,0,0,6,0,1,0,0,-1.0,0,0
248,7,4,6,9,1,2,8,5,0,2,31,0,2,1,1,1411,9,400,3,4,4,3,5,0,0,0,0,0,1,0,2,-1.0,1,0
255,8,2,0,13,1,2,9,3,0,2,40,0,2,1,1,14842,1,400,3,4,4,0,4,0,0,0,0,2,1,2,2,-1.0,1,0
265,7,1,5,2,1,5,8,1,0,1,55,1,1,0,1,1654,15,400,2,4,4,3,4,0,0,0,0,0,1,0,1,-1.0,1,0
272,8,2,5,13,1,6,9,2,0,1,29,0,2,1,1,6391,1,400,1,4,4,3,5,0,0,0,0,0,1,1,2,-1.0,1,0
273,8,3,3,13,1,5,9,4,0,1,45,0,2,1,2,11021,15,400,3,4,4,3,6,0,0,0,0,0,1,1,2,-1.0,1,0
302,4,1,3,9,1,6,5,1,0,1,39,0,2,1,1,1858,16,400,3,4,4,1,6,0,0,0,6,0,1,0,2,-1.0,1,0
307,6,5,4,13,1,2,12,2,0,2,27,0,1,0,2,14244,16,400,2,4,4,1,6,0,0,0,1,0,1,2,1,-1.0,1,0
316,3,3,0,13,0,2,4,3,1,1,76,0,0,0,1,14532,13,400,4,4,4,0,7,0,0,0,1,0,1,2,0,-1.0,1,0
335,5,3,1,18,0,6,6,3,1,1,48,0,2,1,5,12930,10,400,2,4,4,0,7,0,0,0,0,0,1,2,2,-1.0,2,0
350,3,3,1,17,0,6,4,4,1,1,71,1,0,0,1,3467,12,400,3,4,4,0,7,0,0,0,1,0,1,0,0,-1.0,1,0
351,3,4,0,17,0,6,8,1,1,1,36,0,1,0,2,5240,15,700,4,4,4,0,6,0,0,0,0,0,1,0,1,-1.0,1,0
355,1,3,2,9,0,2,2,4,0,1,32,0,1,0,2,2281,7,400,3,4,4,0,5,0,0,0,0,0,1,0,1,-1.0,1,0
359,6,1,6,9,1,1,7,1,0,1,37,0,0,0,1,5107,8,400,3,4,4,1,7,1,0,0,6,0,1,0,0,-1.0,1,0
370,1,4,0,13,0,2,2,5,1,1,45,0,0,0,1,692,3,400,1,4,4,0,6,0,0,0,0,0,1,0,0,-1.0,1,0
378,2,3,5,17,0,6,3,3,0,1,31,1,1,0,1,8735,6,400,2,4,4,0,5,0,0,0,0,0,1,1,1,-1.0,1,0
387,8,2,5,13,1,5,9,2,0,1,38,0,0,0,1,1641,10,400,4,4,4,0,6,0,0,0,0,0,3,0,0,-1.0,1,0
396,10,2,5,9,1,6,11,4,0,1,32,0,2,1,0,13138,10,400,4,4,4,1,5,0,0,0,6,0,1,2,2,-1.0,0,0
406,9,1,0,9,1,2,10,1,0,1,42,0,2,1,2,1196,16,400,4,4,4,5,6,0,0,0,0,0,1,0,2,-1.0,1,0
417,10,2,4,9,1,2,11,3,0,1,52,1,2,1,1,8201,4,400,1,4,4,3,7,0,0,0,3,0,3,1,2,-1.0,1,0
422,3,2,4,13,1,1,4,2,0,1,26,0,0,0,0,3559,2,400,4,4,4,1,6,0,0,0,6,0,1,0,0,-1.0,0,0
444,9,2,2,9,1,7,10,4,0,1,39,0,2,1,1,1706,3,700,2,4,4,1,7,0,0,0,0,0,1,0,2,-1.0,1,0
459,11,1,5,9,1,6,12,1,0,2,50,0,2,1,1,3077,1,400,3,4,4,3,6,0,0,0,6,0,1,0,2,-1.0,1,0
467,11,1,5,13,1,7,12,2,0,1,36,0,2,1,1,6728,15,400,3,4,4,0,4,0,0,0,0,0,1,1,2,-1.0,1,0
471,9,2,6,2,1,2,10,3,0,1,37,0,2,1,2,2608,12,400,1,4,4,0,6,0,0,1,0,0,1,0,2,-1.0,1,0
479,11,4,2,6,1,2,12,4,0,2,22,0,2,1,1,8346,10,400,2,4,4,3,5,0,0,0,1,0,1,1,2,-1.0,1,0
482,7,2,6,6,1,1,8,2,0,1,26,1,2,1,1,6901,6,400,4,4,4,0,5,0,0,0,1,0,1,1,2,-1.0,1,0
508,0,3,5,17,0,6,1,3,1,2,38,0,2,1,1,14111,10,400,3,4,4,5,6,0,0,0,0,0,1,2,2,-1.0,1,0
518,2,4,2,17,0,6,3,4,1,1,43,0,0,0,0,14635,16,400,3,4,4,1,6,0,0,0,0,0,1,2,0,-1.0,0,0
521,9,3,1,9,1,2,10,3,0,1,28,1,1,0,1,9000,1,400,2,4,4,0,6,0,0,0,0,0,1,1,1,-1.0,1,0
526,8,2,5,9,1,6,9,2,0,2,32,0,2,1,1,8164,7,400,3,4,4,1,6,0,0,0,0,0,1,1,2,-1.0,1,0
532,7,5,1,9,1,2,8,5,0,2,28,0,1,0,1,7798,12,400,3,4,4,1,2,0,0,0,0,0,1,1,1,-1.0,1,0
536,7,1,6,13,1,7,8,1,0,1,39,0,1,0,1,14176,4,400,4,4,4,1,6,0,0,0,0,4,2,2,1,-1.0,1,0
543,11,3,6,6,1,1,12,4,0,2,28,1,1,0,1,15029,6,400,3,2,2,1,5,1,0,0,0,0,1,2,1,-1.0,1,0
548,1,3,1,9,1,5,12,4,0,1,28,0,1,0,2,8934,7,400,4,4,4,3,5,0,0,0,6,0,1,1,1,-1.0,1,0
553,8,1,5,13,1,5,9,1,0,1,36,1,2,1,1,15050,9,400,4,4,4,5,6,0,0,0,0,0,1,2,2,-1.0,1,0
576,7,2,3,9,1,2,8,3,0,1,44,0,0,0,1,2004,3,400,4,4,4,0,5,0,0,0,1,0,1,0,0,-1.0,1,1
577,5,2,0,6,1,6,6,2,0,1,43,0,1,0,1,10550,6,400,2,4,4,3,6,0,0,0,6,0,1,1,1,-1.0,1,0
585,0,3,3,9,0,2,1,4,1,1,60,1,2,1,1,11435,1,400,2,4,4,0,5,0,0,0,0,0,1,2,2,-1.0,1,0
593,8,4,0,6,1,2,9,5,0,1,50,0,2,1,1,15089,3,400,4,4,4,5,6,0,0,0,1,0,3,2,2,-1.0,1,0
594,0,4,0,13,0,7,1,4,1,1,32,0,0,0,1,10199,14,400,1,4,4,0,6,0,0,0,1,0,1,1,0,-1.0,1,0
596,10,2,2,2,1,7,11,2,0,1,51,0,2,1,2,14934,5,400,3,4,4,3,7,0,0,0,3,0,1,2,2,-1.0,1,0
601,8,2,6,2,1,2,9,4,0,2,26,0,1,0,1,12098,10,400,2,4,4,3,4,0,0,0,6,0,1,2,1,-1.0,1,1
608,6,1,3,6,1,2,7,1,0,2,35,0,1,0,1,5695,1,400,1,4,4,0,5,0,0,0,0,0,1,0,1,-1.0,1,0
618,10,3,2,6,1,6,11,3,0,2,31,0,1,0,1,12715,3,400,3,4,4,3,4,0,0,0,6,0,1,2,1,-1.0,1,0
626,3,3,2,2,0,7,4,4,1,1,55,0,0,0,2,5302,13,700,2,4,4,1,7,0,0,0,3,0,1,0,0,-1.0,1,0
633,10,4,0,13,1,5,10,4,0,1,29,0,2,1,1,8952,7,400,2,4,4,5,6,0,0,0,0,0,1,1,2,-1.0,1,0
637,3,3,2,17,1,5,8,1,0,1,27,0,2,1,1,10664,9,400,2,4,4,3,5,0,0,0,0,0,1,1,2,-1.0,1,0
638,3,3,0,17,0,1,4,3,1,1,45,1,2,1,1,5419,5,400,3,4,4,0,6,0,0,0,6,4,2,0,2,-1.0,1,0
648,8,3,1,18,1,5,9,4,0,1,55,0,0,0,2,4939,12,400,1,4,4,5,7,0,0,0,0,0,1,0,0,-1.0,1,0
657,1,3,1,17,1,5,11,1,0,1,45,0,0,0,1,7588,4,400,1,4,4,0,5,0,0,0,0,0,1,1,0,-1.0,1,0
668,5,2,4,13,1,2,6,3,0,1,51,0,1,0,1,12361,13,400,1,4,4,1,5,0,0,0,0,0,1,2,1,-1.0,1,0
677,0,4,3,17,0,5,1,5,1,2,21,0,0,0,1,10859,12,400,4,4,4,0,4,0,0,0,0,0,1,1,0,-1.0,1,0
699,4,2,0,2,0,6,5,3,1,1,76,1,0,0,2,3338,12,400,1,4,4,1,7,0,0,0,6,0,1,0,0,-1.0,1,0
705,10,3,6,17,1,1,11,4,0,1,55,1,1,0,1,6545,16,400,2,4,4,0,6,0,0,0,0,0,1,1,1,-1.0,1,0
706,3,2,3,17,1,6,10,5,0,1,32,0,0,0,0,9447,14,400,1,4,4,0,6,0,0,0,0,0,1,1,0,-1.0,0,0
728,8,1,6,18,1,7,9,1,0,1,48,0,2,1,2,14293,7,400,4,4,4,5,7,0,0,0,1,0,1,2,2,-1.0,1,0
733,7,4,5,13,1,5,8,4,0,1,45,1,0,0,1,571,5,400,4,4,4,1,4,0,0,0,3,0,1,0,0,-1.0,1,0
759,7,2,5,17,1,5,8,3,0,0,43,0,0,0,0,3895,3,400,4,4,4,1,6,0,0,0,0,0,1,0,0,-1.0,0,0
766,11,3,1,17,1,5,12,4,0,1,44,0,0,0,1,10990,14,400,4,4,4,1,5,0,0,0,0,0,1,1,0,-1.0,1,0
779,10,1,5,17,1,7,11,1,0,2,27,0,2,1,1,4997,10,400,4,4,4,3,5,0,0,0,0,0,1,0,2,-1.0,1,0
