,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
1,0,1,4,6,1,5,1,1,1,2,26,0,2,1,1,5219,15,400,3,4,4,3,4,0,0,0,0,0,1,0,2,-1.0,1,0
4,11,3,0,0,1,1,12,3,1,1,48,0,1,0,2,4701,11,400,3,4,4,0,7,0,0,0,0,0,1,0,1,-1.0,1,0
7,5,5,0,17,1,1,2,1,1,2,36,0,1,0,1,9050,15,400,3,4,4,0,6,0,0,0,0,0,1,1,1,-1.0,1,0
8,5,1,5,6,1,7,6,2,1,2,29,1,1,0,2,7663,1,400,4,4,4,3,6,0,0,0,6,0,1,1,1,-1.0,1,0
10,1,2,2,6,1,1,12,1,1,1,48,0,2,1,1,8513,16,400,1,4,4,3,6,0,0,0,0,0,1,1,2,-1.0,1,0
11,10,4,1,17,1,2,11,4,1,2,28,0,2,1,1,8621,10,400,3,4,4,0,5,0,0,0,0,0,1,1,2,-1.0,1,0
14,10,4,4,13,1,2,11,5,1,1,63,0,6,2,5,12102,11,400,2,4,4,3,7,0,0,0,6,0,1,2,0,-1.0,2,0
19,11,5,0,17,1,7,11,1,1,1,56,0,1,0,1,9797,5,700,1,4,4,1,7,0,0,0,0,0,1,1,1,-1.0,1,0
22,4,3,6,13,1,7,5,3,1,1,38,0,2,1,1,81,13,400,4,4,4,3,5,0,0,0,0,0,1,0,2,-1.0,1,0
26,4,2,1,5,1,7,5,2,1,1,27,0,1,0,3,7058,5,400,3,4,4,5,6,0,0,0,3,0,1,1,1,-1.0,2,0
