,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
0,6,1,4,5,1,1,7,2,1,2,55,1,0,0,0,3347,16,400,4,4,4,1,7,0,0,0,3,0,1,0,0,-1.0,0,0
3,6,2,6,13,1,5,7,3,1,2,24,0,1,0,2,14349,13,400,1,4,4,3,4,0,0,0,0,0,1,2,1,-1.0,1,0
16,7,2,5,5,1,5,9,2,1,1,51,0,2,1,5,2853,4,700,3,4,4,3,7,0,0,0,6,0,1,0,2,-1.0,2,0
24,9,1,4,6,1,1,10,1,1,1,33,0,2,1,2,4787,9,400,3,4,4,5,6,0,0,0,3,0,1,0,2,-1.0,1,0
25,9,3,1,2,1,6,10,4,1,1,48,0,2,1,2,6533,4,400,1,4,4,5,6,0,0,0,0,0,1,1,2,-1.0,1,0
32,7,3,2,6,1,5,8,4,1,2,0,0,0,0,5,349,6,400,2,4,4,1,0,0,0,0,0,0,1,0,0,-1.0,2,0
35,9,2,2,13,1,2,10,2,1,2,36,0,2,1,1,3755,8,400,4,4,4,5,6,0,0,0,6,0,1,0,2,-1.0,1,0
44,9,3,5,9,1,7,10,3,1,2,46,0,2,1,1,635,9,400,3,4,4,3,6,0,0,0,1,0,1,0,2,-1.0,1,0
45,6,2,1,6,1,6,7,3,1,1,61,1,1,0,1,3540,8,400,2,4,4,1,6,0,1,0,3,0,1,0,1,-1.0,1,0
59,5,2,0,6,1,7,6,2,1,2,0,0,2,1,5,7854,8,400,4,4,4,3,0,0,0,0,0,0,1,1,2,-1.0,2,0
67,3,1,0,13,1,1,4,1,1,2,24,0,1,0,1,3969,5,400,4,4,4,5,4,0,0,0,1,0,1,0,1,-1.0,1,0
68,7,1,2,13,1,2,8,1,1,2,30,0,1,0,2,9034,6,400,4,4,4,3,6,0,0,0,0,0,1,1,1,-1.0,1,0
74,5,3,2,13,1,2,6,3,1,2,30,0,1,0,5,3134,5,400,3,4,4,3,5,0,0,0,0,0,1,0,1,-1.0,2,0
77,4,2,3,2,1,2,5,2,1,2,30,0,2,1,3,12013,4,400,3,4,4,5,5,0,0,0,6,1,2,2,2,-1.0,2,0
80,7,5,6,9,1,5,8,5,1,2,30,1,1,0,2,11145,4,400,2,4,4,3,5,0,0,0,6,0,1,1,1,-1.0,1,0
93,8,2,4,6,1,1,9,2,1,1,30,0,4,1,5,10206,6,400,4,4,4,0,6,0,0,0,0,0,1,1,1,-1.0,2,0
94,9,1,6,9,1,5,10,1,1,1,47,0,6,2,5,2607,2,400,4,4,4,0,7,0,0,0,0,0,1,0,0,-1.0,2,0
95,7,4,6,13,1,6,8,5,1,2,35,0,2,1,1,4544,5,400,1,4,4,5,6,0,0,0,6,0,1,0,2,-1.0,1,0
98,10,2,3,6,1,7,10,2,1,2,34,0,1,0,1,10803,14,400,3,4,4,1,6,0,0,0,6,0,1,1,1,-1.0,1,0
99,11,2,3,17,1,2,12,2,1,2,28,0,2,1,2,14790,7,400,3,4,4,5,5,0,0,0,3,0,1,2,2,-1.0,1,0
109,10,4,1,13,1,6,11,4,1,2,21,0,0,0,1,2663,6,400,1,4,4,0,4,0,0,0,0,0,1,0,0,-1.0,1,0
110,3,2,0,13,1,1,4,2,1,2,27,0,1,0,0,12261,4,400,3,4,4,3,4,0,0,0,1,0,1,2,1,-1.0,0,0
114,5,3,1,13,1,6,11,4,1,2,26,0,0,0,2,9804,15,400,2,4,4,1,5,0,0,0,0,0,1,1,0,-1.0,1,0
121,1,1,5,6,1,2,12,2,1,1,58,0,1,0,1,13175,15,400,4,4,4,1,7,0,0,0,6,0,1,2,1,-1.0,1,0
123,9,4,0,9,1,6,10,5,1,2,34,0,1,0,5,14870,15,400,4,4,4,1,6,0,0,0,0,0,1,2,1,-1.0,2,0
124,8,3,1,17,1,7,9,3,1,2,34,0,2,1,2,705,4,400,4,4,4,3,5,0,0,0,0,0,1,0,2,-1.0,1,0
129,8,4,2,2,1,7,9,5,1,2,35,0,1,0,1,12519,9,400,3,4,4,1,5,0,0,0,0,0,1,2,1,-1.0,1,1
133,6,1,0,0,1,7,7,2,1,1,80,0,6,2,5,4229,2,400,1,4,4,0,7,0,0,0,1,0,1,0,0,-1.0,2,1
139,7,2,1,17,1,3,8,4,1,2,31,1,1,0,2,1051,15,400,4,4,4,3,6,0,0,1,0,0,1,0,1,-1.0,1,0
146,4,1,3,5,1,2,5,1,1,2,35,0,2,1,5,8602,9,400,1,4,4,1,5,0,0,0,0,0,1,1,2,-1.0,2,0
154,6,1,0,13,1,5,7,2,1,2,59,0,0,0,0,9197,11,400,3,4,4,0,7,0,0,0,0,0,1,1,0,-1.0,0,0
165,11,1,2,13,1,2,12,1,1,2,59,0,3,1,1,8354,10,400,2,4,4,3,7,0,0,0,6,0,1,1,0,-1.0,1,0
169,10,4,2,3,1,1,10,1,1,1,47,0,2,1,2,11596,1,400,1,4,4,1,6,0,0,0,3,0,1,2,2,-1.0,1,0
178,1,4,2,9,1,1,12,1,1,2,33,0,2,1,1,2524,16,400,2,4,4,3,5,0,0,0,6,0,1,0,2,-1.0,1,0
180,7,2,6,6,1,7,8,3,1,1,52,1,2,1,5,2193,9,400,1,4,4,1,7,0,0,0,3,0,1,0,2,-1.0,2,0
181,7,2,2,0,1,7,8,3,1,1,40,0,6,2,5,13979,7,400,1,4,4,0,7,0,0,0,0,0,1,2,0,-1.0,2,0
186,9,5,1,9,1,5,8,2,1,2,32,0,1,0,1,3119,6,400,2,4,4,1,5,0,0,0,0,0,1,0,1,-1.0,1,0
204,7,3,6,2,1,7,8,3,1,1,47,1,8,2,5,10641,9,400,4,4,4,3,7,0,0,0,1,0,1,1,2,-1.0,2,0
205,8,1,5,13,1,6,9,1,1,2,45,0,2,1,1,11066,9,400,2,4,4,5,6,0,0,0,0,0,1,1,2,-1.0,1,0
225,7,4,1,9,1,2,9,2,1,2,20,1,1,0,1,7910,10,400,3,4,4,3,3,0,0,0,0,0,1,1,1,-1.0,1,0
227,9,1,3,17,1,1,10,2,1,2,54,1,0,0,1,10337,1,400,3,4,4,3,7,0,0,0,0,0,1,1,0,-1.0,1,0
236,9,2,5,9,1,5,10,2,1,1,55,0,2,1,1,11891,1,400,3,4,4,5,6,0,0,0,0,0,3,2,2,-1.0,1,0
249,6,2,1,6,1,5,7,3,1,1,59,0,1,0,1,370,8,400,1,4,4,1,7,0,0,0,6,0,3,0,1,-1.0,1,0
262,11,2,5,18,1,5,12,3,1,2,55,1,0,0,5,6873,6,400,2,4,4,1,7,0,0,0,6,0,1,1,0,-1.0,2,0
274,7,3,1,6,1,2,8,4,1,2,22,1,0,0,0,10906,15,400,3,4,4,3,3,0,0,0,0,0,1,1,0,-1.0,0,0
275,8,3,5,2,1,7,9,4,1,2,32,0,0,0,1,12249,13,400,3,4,4,0,5,0,0,0,0,0,1,2,0,-1.0,1,1
276,11,2,2,13,1,2,12,2,1,2,36,0,1,0,1,4295,13,400,2,4,4,5,6,0,0,0,0,0,1,0,1,-1.0,1,0
279,11,2,3,17,1,7,12,2,1,2,26,0,2,1,1,7898,13,400,2,4,4,5,5,0,0,0,0,0,1,1,2,-1.0,1,0
283,10,1,3,6,1,2,11,1,1,2,41,0,1,0,1,6660,7,400,1,4,4,3,6,0,0,0,6,0,1,1,1,-1.0,1,0
290,8,3,1,2,1,7,9,3,1,1,40,1,0,0,2,13288,11,400,2,4,4,0,4,0,0,0,6,0,1,2,0,-1.0,1,0
293,7,2,5,13,1,6,8,2,1,2,26,0,1,0,0,8250,5,400,4,4,4,5,5,0,0,0,3,0,1,1,1,-1.0,0,0
294,5,2,2,13,1,2,6,2,1,2,36,0,2,1,2,12644,1,400,4,4,4,3,6,0,0,0,0,0,1,2,2,-1.0,1,0
